Country,ReportID,Year,NumAuth,Agency,ReportSeries,Region,CountofRegions,URL,Title,FirstAuthor,AllAuthors,Citation,Coll
Canada,SSR 1993/001,1993,UFO,DFO,CSAS Stock Status Report,Gulf,1,http://www.dfo-mpo.gc.ca/CSAS/Csas/Publications/SSR-RES/1993/1993_001_e.pdf,Report on the status of Groundfish Stocks in the Canadian Northwest Atlantic,DFO-MPO,DFO-MPO,DFO-MPO/Report on the status of Groundfish Stocks in the Canadian Northwest Atlantic/CSAS Stock Status Report,
Canada,SSR 1993/002,1993,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,"Redfish in the St.Lawrence, on St. Pierre Bank, on the Scotian Shelf (Units 1, 2, 3) - Review of stock status and Stocks Structure",DFO-MPO,DFO-MPO,"DFO-MPO/Redfish in the St.Lawrence, on St. Pierre Bank, on the Scotian Shelf (Units 1, 2, 3) - Review of stock status and Stocks Structure/CSAS Stock Status Report",
Canada,SSR 1993/003,1993,UFO,DFO,CSAS Stock Status Report,Newfoundland & Labrador,4,http://www.dfo-mpo.gc.ca/CSAS/Csas/Publications/SSR-RES/1993/1993_003_e.pdf,Update on Groundfish Stock Status Report,DFO-MPO,DFO-MPO,DFO-MPO/Update on Groundfish Stock Status Report/CSAS Stock Status Report,
Canada,SSR 1993/004,1993,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas/Csas/status/1993/SSR1993_004_E.pdf,Status of Atlantic Salmon Stocks in 1992,DFO-MPO,DFO-MPO,DFO-MPO/Status of Atlantic Salmon Stocks in 1992/CSAS Stock Status Report,
Canada,SSR 1993/005,1993,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas/Csas/status/1993/SSR1993_005_E.pdf,"Status of Capelin Stocks, SA2+3K, Div. 3L, Subdivision 3Ps, and Div. 4RST",DFO-MPO,DFO-MPO,"DFO-MPO/Status of Capelin Stocks, SA2+3K, Div. 3L, Subdivision 3Ps, and Div. 4RST/CSAS Stock Status Report",
Canada,SSR 1993/006,1993,UFO,DFO,CSAS Stock Status Report,Gulf,3,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,DFO Atlantic Fisheries Stock Status Report Pelagic Fisheries 1993,DFO-MPO,DFO-MPO,DFO-MPO/DFO Atlantic Fisheries Stock Status Report Pelagic Fisheries 1993/CSAS Stock Status Report,
Canada,SSR 1993/007,1993,UFO,DFO,CSAS Stock Status Report,Gulf,1,http://www.dfo-mpo.gc.ca/csas/Csas/status/1993/SSR1993_007_E.pdf,Gaspereau Assessments,DFO-MPO,DFO-MPO,DFO-MPO/Gaspereau Assessments/CSAS Stock Status Report,
Canada,SSR 1993/008,1993,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Georges Bank Scallops,DFO-MPO,DFO-MPO,DFO-MPO/Georges Bank Scallops/CSAS Stock Status Report,
Canada,SSR 1993/009,1993,UFO,DFO,CSAS Stock Status Report,Newfoundland & Labrador,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Status of Arctic Charr Stocks in Labrador,DFO-MPO,DFO-MPO,DFO-MPO/Status of Arctic Charr Stocks in Labrador/CSAS Stock Status Report,
Canada,SSR 1994/001,1994,UFO,DFO,CSAS Stock Status Report,Gulf,2,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,"General overview of Atlantic Coast Snow Crab and Report on the status Snow Crab in the Southern Gulf of St. Lawrence (fishing Areas 12, 18, 19, 25, and 26)",DFO-MPO,DFO-MPO,"DFO-MPO/General overview of Atlantic Coast Snow Crab and Report on the status Snow Crab in the Southern Gulf of St. Lawrence (fishing Areas 12, 18, 19, 25, and 26)/CSAS Stock Status Report",
Canada,SSR 1994/002,1994,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Report on the status of Atlantic salmon stocks in eastern Canada in 1993,DFO-MPO,DFO-MPO,DFO-MPO/Report on the status of Atlantic salmon stocks in eastern Canada in 1993/CSAS Stock Status Report,
Canada,SSR 1994/003,1994,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,"Report on the status of pelagic fishes (Capelin off Newfoundland and in the Gulf of St. Lawrence, and herring off the East, Southeast and South Coasts of Newfoundland)",DFO-MPO,DFO-MPO,"DFO-MPO/Report on the status of pelagic fishes (Capelin off Newfoundland and in the Gulf of St. Lawrence, and herring off the East, Southeast and South Coasts of Newfoundland)/CSAS Stock Status Report",
Canada,SSR 1994/004,1994,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/CSAS/Csas/Publications/SSR-RES/1994/1994_004_E.pdf,Report on the status of groundfish stocks in the Canadian Northwest Atlantic,DFO-MPO,DFO-MPO,DFO-MPO/Report on the status of groundfish stocks in the Canadian Northwest Atlantic/CSAS Stock Status Report,
Canada,SSR 1994/005,1994,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Report on the status of some pelagic stocks in the Canadian Northwest Atlantic,DFO-MPO,DFO-MPO,DFO-MPO/Report on the status of some pelagic stocks in the Canadian Northwest Atlantic/CSAS Stock Status Report,
Canada,SSR 1994/006,1994,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,"Report on the status of the shrimp resource in the Northwest Atlantic in areas off Newfoundland and Labrador, in the Gulf of St. Lawrence, and on the Scotian Shelf",DFO-MPO,DFO-MPO,"DFO-MPO/Report on the status of the shrimp resource in the Northwest Atlantic in areas off Newfoundland and Labrador, in the Gulf of St. Lawrence, and on the Scotian Shelf/CSAS Stock Status Report",
Canada,SSR 1995/001,1995,UFO,DFO,CSAS Stock Status Report,Maritimes,2,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,"Report on the status of snow crab stocks in the southern Gulf of St. Lawrence (Fishing areas 12, 18, 19 and 25/26)",DFO-MPO,DFO-MPO,"DFO-MPO/Report on the status of snow crab stocks in the southern Gulf of St. Lawrence (Fishing areas 12, 18, 19 and 25/26)/CSAS Stock Status Report"
Canada,SSR 1995/002,1995,UFO,DFO,CSAS Stock Status Report,Newfoundland & Labrador,4,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Report on the status of Atlantic salmon stocks in eastern Canada in 1994,DFO-MPO,DFO-MPO,DFO-MPO/Report on the status of Atlantic salmon stocks in eastern Canada in 1994/CSAS Stock Status Report
Canada,SSR 1995/003,1995,UFO,DFO,CSAS Stock Status Report,Quebec,4,http://www.dfo-mpo.gc.ca/CSAS/Csas/Publications/SSR-RES/1995/1995_003_e.pdf,Overview of the status of Canadian managed groundfish stocks in the Gulf of St. Lawrence and in the Canadian Atlantic,DFO-MPO,DFO-MPO,DFO-MPO/Overview of the status of Canadian managed groundfish stocks in the Gulf of St. Lawrence and in the Canadian Atlantic/CSAS Stock Status Report
Canada,SSR 1995/004,1995,UFO,DFO,CSAS Stock Status Report,Newfoundland & Labrador,1,http://www.dfo-mpo.gc.ca/CSAS/Csas/Publications/SSR-RES/1995/1995_004_e.pdf,Report on the status of Canadian managed groundfish stocks of the Newfoundland Region,DFO-MPO,DFO-MPO,DFO-MPO/Report on the status of Canadian managed groundfish stocks of the Newfoundland Region/CSAS Stock Status Report
Canada,SSR 1995/005,1995,UFO,DFO,CSAS Stock Status Report,Quebec,2,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Compilation of the reports on the status of groundfish stocks of the Gulf of St. Lawrence,DFO-MPO,DFO-MPO,DFO-MPO/Compilation of the reports on the status of groundfish stocks of the Gulf of St. Lawrence/CSAS Stock Status Report
Canada,SSR 1995/006,1995,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Scotia-Fundy Spring 1995 Groundfish Stock status Report.,DFO-MPO,DFO-MPO,DFO-MPO/Scotia-Fundy Spring 1995 Groundfish Stock status Report./CSAS Stock Status Report
Canada,SSR 1995/007,1995,UFO,DFO,CSAS Stock Status Report,Quebec,2,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Report on the status of Harp Seals in the northwest Atlantic,DFO-MPO,DFO-MPO,DFO-MPO/Report on the status of Harp Seals in the northwest Atlantic/CSAS Stock Status Report
Canada,SSR 1995/008,1995,UFO,DFO,CSAS Stock Status Report,Newfoundland & Labrador,3,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,"Status of Northwest Atlantic redfish in Units 1, 2, 3 and in NAFO Division 3-0.",DFO-MPO,DFO-MPO,"DFO-MPO/Status of Northwest Atlantic redfish in Units 1, 2, 3 and in NAFO Division 3-0./CSAS Stock Status Report"
Canada,SSR 1995/009,1995,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Fall update of 4X cod and haddock stock assessments,DFO-MPO,DFO-MPO,DFO-MPO/Fall update of 4X cod and haddock stock assessments/CSAS Stock Status Report
Canada,PRO 1996/001,1996,UFO,DFO,CSAS Proceedings,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Proceedings of Peer Review and Client Consultations for Diadromous Fish Stocks in the Maritime Provinces.,DFO-MPO,DFO-MPO,DFO-MPO/Proceedings of Peer Review and Client Consultations for Diadromous Fish Stocks in the Maritime Provinces./CSAS Proceedings
Canada,PRO 1996/002,1996,1,DFO,CSAS Proceedings,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,"Workshop on Age Determination Methodology for Fish Stock Assessments held in St. Andrews, N.B.","Trippel, E.A.","Trippel, E.A.","Trippel, E.A./Workshop on Age Determination Methodology for Fish Stock Assessments held in St. Andrews, N.B./CSAS Proceedings"
Canada,PRO 1996/003,1996,UFO,DFO,CSAS Proceedings,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,"Spring Meeting, Regional Advisory Process (RAP) of the Maritimes Region",DFO-MPO,DFO-MPO,"DFO-MPO/Spring Meeting, Regional Advisory Process (RAP) of the Maritimes Region/CSAS Proceedings"
Canada,PRO 1996/004,1996,1,DFO,CSAS Proceedings,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Meeting 2: Regional Advisory Process (RAP) Habitat Subcommittee: Middle Shoal Channel Improvement Program,"Pringle, J.D.","Pringle, J.D.","Pringle, J.D./Meeting 2: Regional Advisory Process (RAP) Habitat Subcommittee: Middle Shoal Channel Improvement Program/CSAS Proceedings"
Canada,PRO 1996/005,1996,1,DFO,CSAS Proceedings,Newfoundland & Labrador,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Proceedings of the 1996 Newfoundland Regional Shellfish Assessment,"Morgan, M.J.","Morgan, M.J.","Morgan, M.J./Proceedings of the 1996 Newfoundland Regional Shellfish Assessment/CSAS Proceedings"
Canada,PRO 1996/006,1996,2,DFO,CSAS Proceedings,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Spring Meeting: Regional Advisory Process (RAP) of the Maritimes Region Gulf of Maine Subcommittee Assessment Review Meeting,"Neilson, J.D.","Neilson, J.D.; Porter, J.M.","Neilson, J.D.; Porter, J.M./Spring Meeting: Regional Advisory Process (RAP) of the Maritimes Region Gulf of Maine Subcommittee Assessment Review Meeting/CSAS Proceedings"
Canada,PRO 1996/007,1996,1,DFO,CSAS Proceedings,Newfoundland & Labrador,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Meetings to Review Assessments of Groundfish Stocks in the Newfoundland Region,"Evans, G.T.","Evans, G.T.","Evans, G.T./Meetings to Review Assessments of Groundfish Stocks in the Newfoundland Region/CSAS Proceedings"
Canada,PRO 1996/008,1996,UFO,DFO,CSAS Proceedings,Quebec,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,"Revue régionale des évaluation de stocks: Compte rendu des réunions du printemps 1996, Région Laurentienne",DFO-MPO,DFO-MPO,"DFO-MPO/Revue régionale des évaluation de stocks: Compte rendu des réunions du printemps 1996, Région Laurentienne/CSAS Proceedings"
Canada,PRO 1996/009,1996,1,DFO,CSAS Proceedings,Maritimes,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Proceedings of Peer Review and Client Consultations of Marine and Invertebrates Stocks in the Southern Gulf of St. Lawrence,"Chadwick, E.M.P.","Chadwick, E.M.P.","Chadwick, E.M.P./Proceedings of Peer Review and Client Consultations of Marine and Invertebrates Stocks in the Southern Gulf of St. Lawrence/CSAS Proceedings"
Canada,SSR 1996/001,1996,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas/Csas/status/1996/SSR_1996_001_e.pdf,Southern Gulf snow crab,DFO-MPO,DFO-MPO,DFO-MPO/Southern Gulf snow crab/CSAS Stock Status Report
Canada,SSR 1996/002,1996,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas/Csas/status/1996/SSR_1996_002_e.pdf,Eastern Nova Scotia snow crab,DFO-MPO,DFO-MPO,DFO-MPO/Eastern Nova Scotia snow crab/CSAS Stock Status Report
Canada,SSR 1996/003,1996,UFO,DFO,CSAS Stock Status Report,Quebec,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Quebec lobster,DFO-MPO,DFO-MPO,DFO-MPO/Quebec lobster/CSAS Stock Status Report
Canada,SSR 1996/004,1996,UFO,DFO,CSAS Stock Status Report,Quebec,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Quebec Scallops,DFO-MPO,DFO-MPO,DFO-MPO/Quebec Scallops/CSAS Stock Status Report
Canada,SSR 1996/005,1996,UFO,DFO,CSAS Stock Status Report,Quebec,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Quebec rock crab,DFO-MPO,DFO-MPO,DFO-MPO/Quebec rock crab/CSAS Stock Status Report
Canada,SSR 1996/006,1996,UFO,DFO,CSAS Stock Status Report,Quebec,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Snow crab of the estuary and northern Gulf of St. Lawrence,DFO-MPO,DFO-MPO,DFO-MPO/Snow crab of the estuary and northern Gulf of St. Lawrence/CSAS Stock Status Report
Canada,SSR 1996/007,1996,UFO,DFO,CSAS Stock Status Report,Quebec,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Quebec Stimpson's surf clam,DFO-MPO,DFO-MPO,DFO-MPO/Quebec Stimpson's surf clam/CSAS Stock Status Report
Canada,SSR 1996/008,1996,UFO,DFO,CSAS Stock Status Report,Quebec,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Quebec green sea urchin,DFO-MPO,DFO-MPO,DFO-MPO/Quebec green sea urchin/CSAS Stock Status Report
Canada,SSR 1996/009,1996,UFO,DFO,CSAS Stock Status Report,Quebec,1,http://www.dfo-mpo.gc.ca/csas-sccs/publications/pubsearch-rechpub/noe-doc-eng.htm,Shrimp of the estuary and the Gulf of St. Lawrence,DFO-MPO,DFO-MPO,DFO-MPO/Shrimp of the estuary and the Gulf of St. Lawrence/CSAS Stock Status Report
Canada,SSR 1996/010,1996,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas/Csas/status/1996/SSR_1996_010_e.pdf,Southern Gulf of St. Lawrence herring,DFO-MPO,DFO-MPO,DFO-MPO/Southern Gulf of St. Lawrence herring/CSAS Stock Status Report
Canada,SSR 1996/011,1996,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas/Csas/status/1996/SSR_1996_011_e.pdf,Silversides of Prince Edward Island (Menidia menidia),DFO-MPO,DFO-MPO,DFO-MPO/Silversides of Prince Edward Island (Menidia menidia)/CSAS Stock Status Report
Canada,SSR 1996/012,1996,UFO,DFO,CSAS Stock Status Report,Maritimes,1,http://www.dfo-mpo.gc.ca/csas/Csas/status/1996/SSR_1996_012_e.pdf,Miramichi striped bass stock (Morone saxatilis),DFO-MPO,DFO-MPO,DFO-MPO/Miramichi striped bass stock (Morone saxatilis)/CSAS Stock Status Report
