Country,Comment,URL,Year,NumAuth,Agency,ReportSeries,Branch,FirstAuthor,AllAuthors,Citation,Title,Date,Vol
Scotland,,,1991,1,Fisheries Research Services,Internal Reports,,,"Ferro, R.S.T.",,Selection and catch comparison trials of seine net cod-ends on MFV Kestrel - April 1990. (03/91) [no document available],01/01/1991,
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"Main, J. & Sangster, G.I.",,A different approach to covered cod-end selection experiments. (04/91) [no document available],01/01/1991,
Scotland,,,1991,4,Fisheries Research Services,Internal Reports,,,"Smith, G.W.; Johnstone, A.D.F.; Sarno, B. & Robb, C.",,Catches of Atlantic salmon ( Salmo salar L.) in a sweep net fishery operation in the Don estuary. (05/91) [no document available],01/01/1991,
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"Main, J. & Sangster, G.I.",,The use of scaring devices in cod-ends to enhance fish escape. (06/91) [no document available],01/01/1991,
Scotland,,,1991,4,Fisheries Research Services,Internal Reports,,,"Shanks, A.M.; Bruno, D.W.; Mitchell, G.G. & Munro, A.L.S.",,The use of Aquagard and the prevalence of cataracts among farmed Atlantic salmon ( Salmo salar L.). (07/91) [no document available],01/01/1991,
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"McHenery, J.G. and Forsyth, S.W.",,Effects of dichlorvos exposure on acetylcholinesterase levels of lobster larvae and mussels deployed in the vicinity of a salmon farm. (08/91),01/01/1991,
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"Davies, I.M. & McKay, D.W.",,"Farmed shellfish production in Scotland, 1990. (09/91) [no document available]",01/01/1991,
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"Davies, I.M. & Shanks, A.M.",,"Geographical distribution of catches of shellfish landed by UK vessels at Scottish ports, 1990. (10/91) [no document available]",01/01/1991,
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"Davies, I.M. & Topping, G.",,Recent determination of the concentrations of cadmium in scallops from northern Scotland. (11/91) [no document available],01/01/1991,
Scotland,,,1991,1,Fisheries Research Services,Internal Reports,,,"Hall, C.D.",,The effects of seismic exploration and underwater explosions on marine life: a bibliography. (12/91) [no document available],01/01/1991,
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"Main, J. & Galbraith, R.D.",,Selective industrial fishing trawl (Sift) for Norway full scale development trials - FRV Clupea March/April 1991. (13/91) [no document available],01/01/1991,
Scotland,,,1991,1,Fisheries Research Services,Internal Reports,,,"Mowat, M.J.D.",,Notes on using the Maps program on VAX computers. (14/91) [no document available],01/01/1991,
Scotland,,,1991,3,Fisheries Research Services,Internal Reports,,,"Davies, I.M.; Turrell, W.R. & Wells, D.E.",,"The observation and simulation to the dispersion of DDVP in Loch Ailort, August 1990. (15/91) [no document available]",01/01/1991,
Scotland,,,1991,3,Fisheries Research Services,Internal Reports,,,"McHenery, J.G.; Linley Adams, G.E. & Moore, D.C.",,"Effects of dichlorvos exposure on the acetylcholinesterase levels of the gills of the mussels, Mytilus edulis L., experimental and field studies. (16/91) [no document available]",01/01/1991,
Scotland,,,1991,4,Fisheries Research Services,Internal Reports,,,"Robertson, N.A.; Murison, D.J.; Moore, D.C. & McHenery, J.G.",,Studies of invertebrate assemblages associated with seaweeds on rocky shores adjacent to salmon farm cages in Scottish sea lochs. (17/91) [no document available],01/01/1991,
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"Main, J. & Sangster, G.I.",,A study of haddock ( Merlanogrammus aeglifinus (L.)) behaviour in diamond and square mesh cod-ends. (18/91) [no document available],01/01/1991
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"Main, J. & Sangster, G.I.",,A study of haddock ( Merlanogrammus aeglifinus (L.)) behaviour in diamond and square mesh cod-ends. (19/91) [no document available],01/01/1991
Scotland,,,1991,3,Fisheries Research Services,Internal Reports,,,"Rodger, G.K.; Brown, F.M.J. & Davies, I.M.",,JMG purpose a report: mercury in fin and shellfish landed at Scottish ports. (20/91) [no document available],01/01/1991
Scotland,,,1991,1,Fisheries Research Services,Internal Reports,,,"Brown, F.M.J.",,Six monthly survey of mercury concentrations in exported fish and shellfish species. Current values: spring 1991. (21/91) [no document available],01/01/1991
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"Mackie, A.M. & Johnstone, A.D.F.",,"Carotenoid pigments in saithe, Pollachius virens (L.) from the vicinity of salmon farm cages. (22/91) [no document available]",01/01/1991
Scotland,,,1991,4,Fisheries Research Services,Internal Reports,,,"Rodger, G.K.; Davies, I.M.; Armstrong, F. & Glass, C.W.",,"Remote sensing studies of the movement of sewage sludge at Garroch Head disposal site, Firth of Clyde, Scotland. (23/91) [no document available]",01/01/1991
Scotland,,,1991,3,Fisheries Research Services,Internal Reports,,,"Rodger, G.K.; Davies, I.M. & Moore, D.C.",,The long term effects on the sediment at a sewage sludge dump site following the cessation of dumping. (24/91) [no document available],01/01/1991
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"Rankine, P.W. & Cargill, L.H.",,The automated measurement of growth increments of larval fish otoliths using image analysis enhancement procedures. (25/91) [no document available],01/01/1991
Scotland,,,1991,2,Fisheries Research Services,Internal Reports,,,"Wells, D.E. & Kelly, A.G.",,Organochlorine residues in sea mammals from the northeastern coast of Scotland. (26/91) [no document available],01/01/1991
Scotland,,,1991,4,Fisheries Research Services,Internal Reports,,,"Bailey, N.; Howell, T.; Chapman, C.J. & Thain, S.E.B.",,Solway cockle surveys 1990. (27/91) [no document available],01/01/1991
Scotland,,,1991,1,Fisheries Research Services,Internal Reports,,,"Brown, F.M.J.",,Six monthly survey of mercury concentrations in exported fish and shellfish special. current values: Autumn 1991. (01/92) [no document available],01/01/1991
Scotland,,,1991,4,Fisheries Research Services,Internal Reports,,,"Main, J.; Sangster, G.I.; Kynoch, R.J. & Ferro, R.S.T.",,An experiment to measure the selectivity of cod-ends using two designs of cover. (02/92) [no document available],01/01/1991
Scotland,,,1991,UFO,Fisheries Research Services,Internal Reports,,,Marine Pollution Monitoring Group,,Final report of the MPMMG subgroup on marine fish farming. (03/92) [no document available],01/01/1991
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/INT244.pdf,1991,3,Fisheries Research Services,Internal Reports,,,"Harding, M.J.C.; Bailey, S.K. & Davies, I.M.",,UK Department of the Environment TBT Imposex Survey of the North Sea Contract PECD 7/8/214 Annex 4: Germany. (13/92),01/01/1991
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/sfwp4-92.pdf,1992,1,Fisheries Research Services,Internal Reports,,,"O'Neill, F.G.",,Derivation of equations governing cod-ends geometry. (04/92),01/01/1992
