Country,ReportID,Year,NumAuth,Agency,ReportSeries,Region,CountofRegions,URL,Title,FirstAuthor,AllAuthors,Citation,coll
Canada,Canadian data report of fisheries and aquatic sciences 162,1979,4,DFO,Canadian data report of fisheries and aquatic sciences,,,,A summary of sablefish tagging and exploratory trapping studies conducted during 1978 by the Pacific Biological Station,"Beamish, R.J.","Beamish, R.J.; Houle, C.; Wood, C.; Scarsbrook, R.","Beamish, R.J.; Houle, C.; Wood, C.; Scarsbrook, R./A summary of sablefish tagging and exploratory trapping studies conducted during 1978 by the Pacific Biological Station/Canadian data report of fisheries and aquatic sciences",113 p
Canada,Canadian data report of fisheries and aquatic sciences 169,1979,4,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Data on rearing, tagging, and release of accelerated and normally reared coho salmon from Rosewall Creek, 1974","Bilton, H.T.","Bilton, H.T.; Humphreys, R.M.; Jenkinson, D.W.; Johnston, G.","Bilton, H.T.; Humphreys, R.M.; Jenkinson, D.W.; Johnston, G./Data on rearing, tagging, and release of accelerated and normally reared coho salmon from Rosewall Creek, 1974/Canadian data report of fisheries and aquatic sciences",17 p
Canada,Canadian data report of fisheries and aquatic sciences 161,1979,3,DFO,Canadian data report of fisheries and aquatic sciences,,,,Catalogue of salmon streams and spawning escapements Lillooet-Pemberton Sub-District,"Brown, R.F.","Brown, R.F.; Musgrave, M.M.; Marshall, D.E.","Brown, R.F.; Musgrave, M.M.; Marshall, D.E./Catalogue of salmon streams and spawning escapements Lillooet-Pemberton Sub-District/Canadian data report of fisheries and aquatic sciences",88 p
Canada,Canadian data report of fisheries and aquatic sciences 167,1979,5,DFO,Canadian data report of fisheries and aquatic sciences,,,,Catalogue of salmon streams and spawning escapements of Statistical Areas 22 and 23 (Nitinat and Barkley Sound),"Brown, R.F.","Brown, R.F.; Musgrave, M.M.; Demontier, D.G.; Marshall D, E.: Comfort, M.J.","Brown, R.F.; Musgrave, M.M.; Demontier, D.G.; Marshall D, E.: Comfort, M.J./Catalogue of salmon streams and spawning escapements of Statistical Areas 22 and 23 (Nitinat and Barkley Sound)/Canadian data report of fisheries and aquatic sciences",191 p
Canada,Canadian industry report of fisheries and aquatic sciences 111,1979,2,DFO,Canadian industry report of fisheries and aquatic sciences,,,,"Mercury levels in Labrador fish, 1977-78","Bruce, W.J.","Bruce, W.J.; Spencer, K.D.","Bruce, W.J.; Spencer, K.D./Mercury levels in Labrador fish, 1977-78/Canadian industry report of fisheries and aquatic sciences",12:00 PM
Canada,Canadian data report of fisheries and aquatic sciences 163,1979,2,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Estimated densities of juvenile Atlantic salmon and other freshwater fishes in selected Nova Scotia streams, 1978","Cameron, J.D.","Cameron, J.D.; Gray, R.W.","Cameron, J.D.; Gray, R.W./Estimated densities of juvenile Atlantic salmon and other freshwater fishes in selected Nova Scotia streams, 1978/Canadian data report of fisheries and aquatic sciences",43 p
Canada,Canadian data report of fisheries and aquatic sciences 177,1979,3,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Length and age composition of rock sole (Lepidopsetta bilineata) from commercial landings from the Butterworth-Warrior area of Hecate Strait, 1973-78","Chilton, D.E.","Chilton, D.E.; Stocker, M.; Fargo, J.","Chilton, D.E.; Stocker, M.; Fargo, J./Length and age composition of rock sole (Lepidopsetta bilineata) from commercial landings from the Butterworth-Warrior area of Hecate Strait, 1973-78/Canadian data report of fisheries and aquatic sciences",17 p
Canada,Canadian data report of fisheries and aquatic sciences 172,1979,3,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Selected physical and chemical oceanographic data from Quatsino Sound-Neroutsos Inlet, March 1979 survey","Greer, G.L.","Greer, G.L.; Futer, P.G.; Shand, I.G.","Greer, G.L.; Futer, P.G.; Shand, I.G./Selected physical and chemical oceanographic data from Quatsino Sound-Neroutsos Inlet, March 1979 survey/Canadian data report of fisheries and aquatic sciences",28 p
Canada,Canadian data report of fisheries and aquatic sciences 174,1979,2,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Phytoplankton productivity and nutrient measurements at the edge of the continental shelf off Nova Scotia between June 3 and 6, 1978","Irwin, B.","Irwin, B.; Platt, T.","Irwin, B.; Platt, T./Phytoplankton productivity and nutrient measurements at the edge of the continental shelf off Nova Scotia between June 3 and 6, 1978/Canadian data report of fisheries and aquatic sciences","v, 50 p."
Canada,Canadian industry report of fisheries and aquatic sciences 113,1979,2,DFO,Canadian industry report of fisheries and aquatic sciences,,,,Mechanical smoker-dryer for hard cured bloaters,"Parker, H.","Parker, H.; Rowe, P.E.","Parker, H.; Rowe, P.E./Mechanical smoker-dryer for hard cured bloaters/Canadian industry report of fisheries and aquatic sciences",11:00 PM
Canada,Canadian data report of fisheries and aquatic sciences 166,1979,2,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Densities of freshwater fishes (non-Atlantic salmon), Restigouche River system, New Brunswick, 1972-1978","Pickard, P.R.","Pickard, P.R.; Peppar, J.L.","Pickard, P.R.; Peppar, J.L./Densities of freshwater fishes (non-Atlantic salmon), Restigouche River system, New Brunswick, 1972-1978/Canadian data report of fisheries and aquatic sciences",21 p
Canada,Canadian data report of fisheries and aquatic sciences 165,1979,2,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Ages at migration of Atlantic salmon in the Restigouche River, 1976-1978","Pickard, P.R.","Pickard, P.R.; Peppar, J.L.","Pickard, P.R.; Peppar, J.L./Ages at migration of Atlantic salmon in the Restigouche River, 1976-1978/Canadian data report of fisheries and aquatic sciences",5:00 PM
