Name,NameShort,Domain,TopicGeneral,TopicDetail,AppType,DPScore,DVScore,GMScore,MDScore,ATScore,DocCategory,DocType,Access,Cost,Status,Program,AppURL,DocURL
Beck et al. 2019: Detiding dissolved oxygen data - Case Studies,DetidingDissOxCases,Oceanography,Ecosystem Properties,Detiding dissolved oxygen data,Model Documentation,2,2,5,5,1,Primary Literature,Journal Paper,Public,Free,Active,Shiny,https://beckmw.shinyapps.io/detiding_cases/,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lom3.10062
Beck et al. 2019: Detiding dissolved oxygen data - Simulations,DetidingDissOxSims,Oceanography,Ecosystem Properties,Detiding dissolved oxygen data,Model Documentation,0,1,5,5,1,Primary Literature,Journal Paper,Public,Free,Active,Shiny,https://beckmw.shinyapps.io/detiding_sims/,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lom3.10062
Beck et al. 2019: Detiding dissolved oxygen data - Weighting Illustration,DetidingDissOxWeights,Oceanography,Ecosystem Properties,Detiding dissolved oxygen data,Model Documentation,0,1,3,5,1,Primary Literature,Journal Paper,Public,Free,Active,Shiny,https://beckmw.shinyapps.io/weights_widget/,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lom3.10062
NIOZ Omexdia,SedimentCycleONC,Oceanography,Nutrient Cycling,"Cycle of O, N, C in marine sediments",Model Documentation,0,3,5,5,1,Primary Literature,Journal Paper,Public,Free,Active,Shiny,http://www.rforscience.com/modelling/omexdia/,http://www.sciencedirect.com/science/article/pii/0016703796000130
NIOZ Dynamic Energy budget for Mussels,MytilusEnergyBudget,Fisheries,Physiology,Dynamic Energy Budget (DEB) model of Mytilus edulis,Model Documentation,1,1,5,1,1,Online Only,In App,Public,Free,Active,Shiny,http://www.rforscience.com/modelling/musseldeb/,NA
NIOZ Carbon isotope tracing,BacterivoryCTracer,Oceanography,Nutrient Cycling,Tracer simulation of the bacterivory model,Model Documentation,1,1,5,3,1,Primary Literature,Journal Paper,Public,Free,Active,Shiny,http://www.rforscience.com/modelling/tracer/,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2006.51.3.1302
NIOZ Deep-sea foodwebs,DeepFoodwebs,Oceanography,Ecosystem Properties,Deep-sea foodweb modelling,Data Vis,2,3,0,2,0,Primary Literature,Journal Paper,Public,Free,Active,Shiny,http://www.rforscience.com/modelling/deepseafoodwebs/,http://link.springer.com/article/10.1007%2Fs10021-009-9297-6
USGS Lake Erie Western Basin Trawl Survey,LkErieWTrawls,Fisheries,Stock Assessment,Trawl survey data,Data Vis,3,5,0,0,0,Online Only,In App,Public,Free,Active,Shiny,https://lebs.shinyapps.io/western-basin/,NA
SACTN South African Coastal Temperature Network,SAfrCstTemp,Oceanography,Survey Data,Temperature data,Data Vis,5,5,0,0,0,Online Only,In App,Public,Free,Active,Shiny,https://robert-schlegel.shinyapps.io/SACTN/,NA
NIOZ Westershelde Water Quality,BelgiumWaterQuality,Oceanography,Survey Data,Dissolved organic nutrients,Data Vis,4,5,0,0,0,Primary Literature,Journal Paper,Public,Free,Active,Shiny,http://www.rforscience.com/data/westerschelde/,https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2006.51.1_part_2.0409
NIOZ phytoplankton monitoring data Oosterschelde,BelgiumPhytoplankton,Oceanography,Survey Data,Phytoplankton,Data Vis,4,4,0,0,0,Online Only,In App,Public,Free,Active,Shiny,http://www.rforscience.com/data/oosterschelde/,NA
NIOZ Montoring Wadden Sea,BelgiumOceanMonitoring,Oceanography,Survey Data,Dissolved organic nutrients,Data Vis,4,5,0,0,0,Online Only,In App,Public,Free,Active,Shiny,http://www.rforscience.com/data/waddensea/,NA
"NIOZ Yerseke, Benthos information system",BelgiumBenthos,Oceanography,Survey Data,Benthic community,Data Vis,4,5,0,0,0,Online Only,In App,Public,Free,Active,Shiny,http://www.rforscience.com/data/macrobenthos/,NA
